index,Style,Stock,,,,,,,
18661,MEN5004,43.00,,,,,,,
18662,MEN5009,55.00,,,,,,,
18663,MEN5011,53.00,,,,,,,
18664,MEN5025,34.00,,,,,,,
18665,MEN5015,119.00,,,,,,,
18666,MEN5022,100.00,,,,,,,
18667,MEN5014,152.00,,,,,,,
18668,MEN5013,37.00,,,,,,,
18669,MEN5003,114.00,,,,,,,
18670,MEN5028,73.00,,,,,,,
18671,MEN5006,128.00,,,,,,,
18672,BL097,144.00,,,,,,,
18673,BL104,45.00,,,,,,,
18674,BL103,97.00,,,,,,,
18675,J0001,311.00,,,,,,,
18676,JNE3660,129.00,,,,,,,
18677,JNE3647,8.00,,,,,,,
18678,J0116,40.00,,,,,,,
18679,J0165,127.00,,,,,,,
18680,JNE3656,97.00,,,,,,,
18681,JNE3673,66.00,,,,,,,
18682,JNE3649,15.00,,,,,,,
18683,JNE3653,9.00,,,,,,,
18684,JNE3651,97.00,,,,,,,
18685,JNE3712,147.00,,,,,,,
18686,J0036,11.00,,,,,,,
18687,JNE3658,89.00,,,,,,,
18688,JNE3652,34.00,,,,,,,
18689,JNE3643,10.00,,,,,,,
18690,JNE3672,38.00,,,,,,,
18691,JNE3674,231.00,,,,,,,
18692,JNE3670,25.00,,,,,,,
18693,J0122,24.00,,,,,,,
18694,J0119,289.00,,,,,,,
18695,JNE3421,108.00,,,,,,,
18696,JNE3467,49.00,,,,,,,
18697,JNE3030,329.00,,,,,,,
18698,JNE3657,16.00,,,,,,,
18699,JNE3667,53.00,,,,,,,
18700,J0092,43.00,,,,,,,
18701,JNE3659,212.00,,,,,,,
18702,J0214,40.00,,,,,,,
18703,J0201,39.00,,,,,,,
18704,J0197,90.00,,,,,,,
18705,J0213,206.00,,,,,,,
18706,JNE3640,194.00,,,,,,,
18707,J0233,491.00,,,,,,,
18708,J0237,59.00,,,,,,,
18709,J0234,104.00,,,,,,,
18710,JNE3535,116.00,,,,,,,
18711,JNE3497,4.00,,,,,,,
18712,JNE1525,6171.00,,,,,,,
18713,JNE2305,1486.00,,,,,,,
18714,JNE3365,175.00,,,,,,,
18715,JNE2270,1600.00,,,,,,,
18716,SET094,52.00,,,,,,,
18717,JNE2049,32.00,,,,,,,
18718,CH202,32.00,,,,,,,
18719,BTM029,30.00,,,,,,,
18720,BTM008,81.00,,,,,,,
18721,BTM035,20.00,,,,,,,
18722,CH209,18.00,,,,,,,
18723,CH208,31.00,,,,,,,
18724,CH207,19.00,,,,,,,
18725,CH205,31.00,,,,,,,
18726,CH213,23.00,,,,,,,
18727,J0024,1122.00,,,,,,,
18728,J0109,316.00,,,,,,,
18729,J0110,117.00,,,,,,,
18730,J0127,311.00,,,,,,,
18731,J0281,84.00,,,,,,,
18732,J0285,164.00,,,,,,,
18733,JNE3615,429.00,,,,,,,
18734,JNE3619,399.00,,,,,,,
18735,NW005,188.00,,,,,,,
18736,NW006,192.00,,,,,,,
18737,NW013,163.00,,,,,,,
18738,NW031,106.00,,,,,,,
18739,NW032,143.00,,,,,,,
18740,SET217,214.00,,,,,,,
18741,SET220,179.00,,,,,,,
18742,SET058,2064.00,,,,,,,
18743,J0241,25.00,,,,,,,
18744,J0140,17.00,,,,,,,
18745,JNE3669,13.00,,,,,,,
18746,SET182,307.00,,,,,,,
18747,J0239,46.00,,,,,,,
18748,JNE3710,487.00,,,,,,,
18749,JNE3629,82.00,,,,,,,
18750,J0037,109.00,,,,,,,
18751,J0243,172.00,,,,,,,
18752,JNE2100,1219.00,,,,,,,
18753,SET048,83.00,,,,,,,
18754,J0244,155.00,,,,,,,
18755,J0148,140.00,,,,,,,
18756,J0143,17.00,,,,,,,
18757,J0161,21.00,,,,,,,
18758,J0186,30.00,,,,,,,
18759,JNE2265,536.00,,,,,,,
18760,BL099,32.00,,,,,,,
18761,JNE3288,468.00,,,,,,,
18762,JNE3405,107.00,,,,,,,
18763,JNE3439,573.00,,,,,,,
18764,JNE3489,495.00,,,,,,,
18765,JNE3560,236.00,,,,,,,
18766,JNE3612,251.00,,,,,,,
18767,MEN5005,31.00,,,,,,,
18768,MEN5016,28.00,,,,,,,
18769,MEN5029,123.00,,,,,,,
18770,J0178,10.00,,,,,,,
18771,JNE3609,678.00,,,,,,,
18772,J0204,50.00,,,,,,,
18773,J0202,55.00,,,,,,,
18774,J0117,467.00,,,,,,,
18775,J0115,55.00,,,,,,,
18776,J0118,521.00,,,,,,,
18777,SET236,40.00,,,,,,,
18778,JNE3713,48.00,,,,,,,
18779,SET196,429.00,,,,,,,
18780,SET260,12.00,,,,,,,
18781,SET194,926.00,,,,,,,
18782,J0246,358.00,,,,,,,
18783,J0242,232.00,,,,,,,
18784,J0130,46.00,,,,,,,
18785,SET268,1617.00,,,,,,,
18786,SET263,206.00,,,,,,,
18787,SET262,123.00,,,,,,,
18788,SET229,112.00,,,,,,,
18789,JNE3605,65.00,,,,,,,
18790,J0279,289.00,,,,,,,
18791,J0138,18.00,,,,,,,
18792,J0207,47.00,,,,,,,
18793,MEN5008,88.00,,,,,,,
18794,SET098,426.00,,,,,,,
18795,SET062,161.00,,,,,,,
18796,J0041,147.00,,,,,,,
18797,SET144,23.00,,,,,,,
18798,SET110,376.00,,,,,,,
18799,SET250,417.00,,,,,,,
18800,SET073,1787.00,,,,,,,
18801,J0007,402.00,,,,,,,
18802,J0284,27.00,,,,,,,
18803,J0230,800.00,,,,,,,
18804,J0011,310.00,,,,,,,
18805,SET238,92.00,,,,,,,
18806,SET227,54.00,,,,,,,
18807,SET228,191.00,,,,,,,
18808,SET234,1.00,,,,,,,
18809,SET235,11.00,,,,,,,
18810,SET206,3.00,,,,,,,
18811,SET231,0.00,,,,,,,
18812,SET240,299.00,,,,,,,
18813,J0137,291.00,,,,,,,
18814,SET210,54.00,,,,,,,
18815,SET241,2.00,,,,,,,
18816,SET225,58.00,,,,,,,
18817,SET233,100.00,,,,,,,
18818,J0211,191.00,,,,,,,
18819,JNE3697,56.00,,,,,,,
18820,J0035,15.00,,,,,,,
18821,JNE3391,58.00,,,,,,,
18822,JNE3628,146.00,,,,,,,
18823,J0212,194.00,,,,,,,
18824,SET100,98.00,,,,,,,
18825,J0151,26.00,,,,,,,
18826,J0283,162.00,,,,,,,
